"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"1","La Liga","2022-08-12","La Liga (Matchweek 1)","Osasuna","4-4-2",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;","5","0","Sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;","3","0","https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","Aimar Oroz","/en/players/7c363088/Aimar-Oroz",29,"ESP","FW","20-258",80,1,0,1,1,0,0,0,0,27,1,1,1,0.8,0,0,6,2,22,22,100,2,19,0,0,0
"6","La Liga","2022-08-12","La Liga (Matchweek 1)","Osasuna","4-4-2",2,1.5,"Ezequiel Ávila · 9&rsquor; Aimar Oroz (P) · 74&rsquor;","5","0","Sevilla","4-2-3-1",1,0.9,"Rafa Mir · 11&rsquor;","3","0","https://fbref.com/en/matches/1edcbf7a/Osasuna-Sevilla-August-12-2022-La-Liga","Osasuna","Home","Lucas Torró","/en/players/0e4fef6e/Lucas-Torro",6,"ESP","CM,DM","28-024",90,0,0,0,0,1,1,0,0,24,2,0,0,0,0,0,2,0,16,20,80,2,11,0,1,0
34,La Liga,2022-08-13,La Liga (Matchweek 1),Celta Vigo,4-1-3-2,2,0.4,Iago Aspas · 45+2&rsquor; Gonçalo Paciência · 63&rsquor;,5,0,Espanyol,4-3-2003,2,1.1,Edu Expósito · 72&rsquor; Joselu (P) · 90+8&rsquor;,2,0,https://fbref.com/en/matches/73b529f2/Celta-Vigo-Espanyol-August-13-2022-La-Liga,Celta Vigo,Home,Carles Pérez,/en/players/a8f21b9f/Carles-Perez,7,ESP,FW,24-178,21,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,11,12,91.7,0,8,0,1,0
"420","La Liga","2022-08-20","La Liga (Matchweek 2)","Mallorca","5-3-2",1,0.6,"Vedat Muriqi · 56&rsquor;","7","0","Real Betis","4-2-3-1",2,2.1,"Borja Iglesias (P) · 9&rsquor; Borja Iglesias (P) · 73&rsquor;","8","0","https://fbref.com/en/matches/f06f275b/Mallorca-Real-Betis-August-20-2022-La-Liga","Mallorca","Home","Lago Junior","/en/players/360d70f8/Lago-Junior",11,"CIV","CB","31-232",4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,75,0,4,1,0,0
"425","La Liga","2022-08-20","La Liga (Matchweek 2)","Mallorca","5-3-2",1,0.6,"Vedat Muriqi · 56&rsquor;","7","0","Real Betis","4-2-3-1",2,2.1,"Borja Iglesias (P) · 9&rsquor; Borja Iglesias (P) · 73&rsquor;","8","0","https://fbref.com/en/matches/f06f275b/Mallorca-Real-Betis-August-20-2022-La-Liga","Real Betis","Away","Borja Iglesias","/en/players/75645f0e/Borja-Iglesias",9,"ESP","FW","29-215",78,2,0,2,2,0,0,0,0,32,0,0,1,1.6,0,0,0,0,19,24,79.2,2,14,0,0,0
"892","La Liga","2022-08-29","La Liga (Matchweek 3)","Cádiz","4-4-2",0,0.4,"","2","0","Athletic Club","4-2-3-1",4,2.4,"Iñaki Williams · 24&rsquor; Gorka Guruzeta · 56&rsquor; Álex Berenguer · 78&rsquor; Gorka Guruzeta · 90+3&rsquor;","1","0","https://fbref.com/en/matches/af336b4a/Cadiz-Athletic-Club-August-29-2022-La-Liga","Athletic Club","Away","Raúl García","/en/players/b418dbd4/Raul-Garcia",22,"ESP","RW,FW","36-049",9,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0,1,1,11,13,84.6,4,10,1,0,0
"895","La Liga","2022-08-29","La Liga (Matchweek 3)","Cádiz","4-4-2",0,0.4,"","2","0","Athletic Club","4-2-3-1",4,2.4,"Iñaki Williams · 24&rsquor; Gorka Guruzeta · 56&rsquor; Álex Berenguer · 78&rsquor; Gorka Guruzeta · 90+3&rsquor;","1","0","https://fbref.com/en/matches/af336b4a/Cadiz-Athletic-Club-August-29-2022-La-Liga","Athletic Club","Away","Oihan Sancet","/en/players/bdb624a3/Oihan-Sancet",8,"ESP","DM","22-126",87,0,0,0,0,0,0,0,0,56,0,0,2,0,0,0.1,2,0,46,50,92,7,41,5,4,3
"977","La Liga","2022-09-03","La Liga (Matchweek 4)","Mallorca","5-3-2",1,0.7,"Antonio Raillo · 87&rsquor;","4","0","Girona","3-4-3",1,1.2,"Samuel Sáiz (P) · 90+2&rsquor;","2","0","https://fbref.com/en/matches/5d51fa0c/Mallorca-Girona-September-3-2022-La-Liga","Mallorca","Home","Antonio Raillo","/en/players/b857bd29/Antonio-Raillo",21,"ESP","CB","30-330",90,1,0,0,0,1,1,0,0,64,2,0,1,0,0,0,1,0,45,52,86.5,2,35,0,0,0
"978","La Liga","2022-09-03","La Liga (Matchweek 4)","Mallorca","5-3-2",1,0.7,"Antonio Raillo · 87&rsquor;","4","0","Girona","3-4-3",1,1.2,"Samuel Sáiz (P) · 90+2&rsquor;","2","0","https://fbref.com/en/matches/5d51fa0c/Mallorca-Girona-September-3-2022-La-Liga","Mallorca","Home","Martin Valjent","/en/players/f2c6ac01/Martin-Valjent",24,"SVK","CB","26-266",90,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,39,42,92.9,3,17,1,0,0
"1318","La Liga","2022-09-10","La Liga (Matchweek 5)","Espanyol","4-2-3-1",2,2.5,"Joselu (P) · 45+4&rsquor; Martin Braithwaite · 62&rsquor;","4","0","Sevilla","4-2-3-1",3,2,"Érik Lamela · 1&rsquor; Carmona · 26&rsquor; Carmona · 45&rsquor; Érik Lamela · 84&rsquor;","6","1","https://fbref.com/en/matches/2705dc41/Espanyol-Sevilla-September-10-2022-La-Liga","Espanyol","Home","Dani Gómez","/en/players/0e5ddc7c/Dani-Gomez",19,"ESP","RM,RW","24-042",32,0,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,4,5,80,1,6,1,0,0
"1319","La Liga","2022-09-10","La Liga (Matchweek 5)","Espanyol","4-2-3-1",2,2.5,"Joselu (P) · 45+4&rsquor; Martin Braithwaite · 62&rsquor;","4","0","Sevilla","4-2-3-1",3,2,"Érik Lamela · 1&rsquor; Carmona · 26&rsquor; Carmona · 45&rsquor; Érik Lamela · 84&rsquor;","6","1","https://fbref.com/en/matches/2705dc41/Espanyol-Sevilla-September-10-2022-La-Liga","Espanyol","Home","Brian Oliván","/en/players/a3e4bf46/Brian-Olivan",14,"ESP","LB","28-162",90,0,0,0,0,3,0,0,0,73,1,2,1,0.1,0.1,0.1,4,1,39,61,63.9,5,44,6,4,1
